DRIVER,CUSTID,LOCATION,CLUB_NAME,STARTS,WINS,AVG_START_POS,AVG_FINISH_POS,AVG_POINTS,TOP25PCNT,LAPS,LAPSLEAD,AVG_INC,CLASS,IRATING,TTRATING,TOT_CLUBPOINTS,CHAMPPOINTS
"Ty Majeski","62032","US","Midwest",1152,870,2,2,133,953,60569,50111,1.49,"A 4.99",10595,2060,8365,152664
"Tyler Majeski","138310","US","Midwest",1294,936,4,3,138,1102,60045,39473,2.34,"A 4.99",10440,1653,9383,178104
"Ray Alfalla","15687","US","Florida",1150,490,6,5,187,884,102685,36313,2.42,"P 4.87",9525,2184,10197,214891
"Logan Seavey","87145","US","California Club",1191,337,5,6,130,693,48718,12675,2.76,"A 3.34",8748,1388,9027,154665
"Jeff Bye Jr","22230","US","California Club",694,581,1,2,150,636,29756,24996,.87,"A 4.99",8682,2015,4058,104309
"Bobby Zalenski","125400","US","California Club",345,79,6,6,132,192,21862,3917,2.21,"P 4.47",8655,1429,1866,45673
"Austen Semmelmann2","269057","US","Midwest",627,313,3,3,130,434,16308,8082,1.24,"A 4.76",8345,1350,4445,81412
"Howard Weaver","89416","US","Mid-South",574,334,2,3,126,439,17428,10562,1.56,"A 4.13",8329,1332,4363,72169
"Garrett Lowe","173213","US","Carolina",933,174,5,7,149,520,58875,9551,2.92,"A 4.99",8316,1253,6582,138850
"Stevie Minson","34729","US","Virginias",4748,1136,6,6,131,2703,167622,33331,2.23,"A 4.99",8215,1513,40162,623958
"Tyler D Hudson","17070","US","Mid-South",3026,1595,6,4,171,2429,227131,80312,1.79,"P 4.42",8125,1720,31288,516991
"Bill Martin","30461","US","Midwest",806,413,3,4,118,578,39653,21819,1.77,"A 4.95",8117,1528,5565,95189
"Ryan Michael Luza","161358","US","Texas",534,312,3,5,212,439,43055,21570,2.11,"P 2.57",8116,1305,4676,113184
"PJ Stergios","18823","US","New England",1234,352,6,6,137,800,90936,22726,2.11,"P 2.47",8086,2061,9341,169335
"Dylan Duval","58489","CA","Canada",1110,219,6,8,148,577,84230,16476,3.36,"P 3.55",8046,1428,8894,164508
"Logan Clampitt","119681","US","California Club",2526,759,4,6,136,1508,112212,34356,2.41,"P 3.48",7969,1361,22259,344607
"Ryan Luza","46281","US","Texas",885,343,3,5,129,555,46865,20693,2.71,"A 4.99",7945,1823,6110,113796
"Simon Crochart","57557","FR","France",438,174,3,4,152,324,27541,11793,1.52,"A 4.99",7881,1796,4481,66437
"Mike Stodder","39096","US","Carolina",904,500,2,3,124,684,36511,20779,.91,"A 4.99",7820,1390,54,112536
"Daniel Roeper","44933","US","New York",642,396,3,4,147,527,38039,21192,2.18,"A 3.79",7815,1281,8496,94203
"Christian Challiner","162441","GB","UK and I",260,52,8,8,146,142,27706,4447,3.57,"P 4.99",7795,1291,1202,37884
"James Curl","221548","US","Florida",1111,538,4,4,114,780,58400,27265,2.74,"A 4.99",7780,1903,6514,126921
"Dillon Raffurty","73546","US","Great Plains",688,190,7,7,130,391,45633,12658,2.61,"A 4.46",7746,1673,5216,89770
"Cody Byus","58919","US","Carolina",913,364,4,6,113,580,50627,17320,1.69,"P 4.99",7733,1604,5937,103233
"Dale Earnhardt Jr","15082","US","Carolina",325,183,3,3,170,279,28022,14894,.98,"A 4.99",7683,3346,2497,55334
"Brian Schoenburg","15780","US","California Club",1738,707,5,5,144,1246,125012,45034,3.12,"P 4.51",7682,1397,16652,249825
"Brian Perski","17527","US","Michigan",622,189,3,5,160,440,45851,12013,1.92,"A 4.99",7676,1546,7243,99613
"Bobby Hackel","24631","US","New York",900,401,4,4,120,587,40859,16516,1.63,"A 4.25",7571,1251,5142,107602
"Nick Ottinger","45033","US","Carolina",878,356,4,6,115,561,56822,21878,2.65,"P 4.76",7515,1590,4483,100634
"Zack Novak","87205","US","New England",4521,828,6,8,106,2172,206548,42186,2.73,"P 4.99",7504,1278,30218,477925
"Jr Borborema","90612","BR","Brazil",1582,252,5,6,114,821,77603,12279,2.08,"A 4.99",7485,1644,12931,179818
"Michael Conti","38602","US","New Jersey",1518,501,10,6,153,1027,100094,22743,2.06,"P 3.64",7477,1452,14781,232047
"Darik Bourdeau","118202","CA","Canada",218,45,8,8,148,110,17685,3226,2.56,"P 4.22",7422,1314,837,32321
"Blake Reynolds","118216","US","Texas",1175,181,11,8,125,570,73008,9916,2.97,"P 4.99",7410,1333,8199,147073
"TJ Majors","15239","US","Carolina",295,197,2,2,156,246,14600,8875,1.31,"A 4.66",7330,1971,2247,45877
"Seth DeMerchant","58578","US","New England",2265,431,7,7,117,1115,115816,20784,3.93,"A 4.99",7303,1378,17433,265733
"Timmy Hill","51575","US","Atlantic",1603,664,6,5,142,1104,102982,33234,1.93,"P 3.97",7300,1881,15541,227708
"Justin Bolton","52025","US","Carolina",1279,307,7,7,149,723,79854,16195,2.29,"P 3.48",7293,1338,9639,190033
"Justin Brooks II","74163","US","Carolina",335,262,1,2,132,298,17539,13951,2.31,"C 2.57",7276,1363,3244,44162
"Marcus Richardson","121636","US","Atlantic",381,79,6,8,119,196,25512,4838,3.01,"P 3.72",7213,1375,2196,45271
"Mark Jorgensen Jr","101264","US","Texas",705,243,2,4,118,495,31309,14235,1.4,"A 4.99",7187,1436,7415,83147
"Corey Vincent","122502","US","Mid-South",577,144,6,7,128,319,35164,8174,2.18,"P 4.44",7182,1350,4344,73952
"Alan Binder","23713","US","Ohio",634,268,4,4,99,345,28925,15207,2.14,"A 4.99",7152,2760,3859,62480
"Michael Guest","34809","US","Indiana",3490,733,7,6,128,1901,158158,28380,3.28,"A 4.75",7148,1234,29452,445181
"Tyler Laughlin","25075","US","Mid-South",1458,381,7,8,102,704,83135,20153,3.08,"A 3.36",7137,1781,9333,148562
"Michael Cutajar","29920","AU","Australia/NZ",494,273,2,2,122,353,19344,11117,1.03,"A 4.99",7078,1409,546,60204
"Taylor Hurst","105479","US","Carolina",881,141,8,9,143,468,74425,13428,3.26,"P 4.56",7075,1480,6221,126041
"Casey Kirwan","82554","US","Carolina",1303,256,5,6,116,603,71647,14028,2.88,"A 3.65",7071,1457,6430,150873
"Jake Stergios","27868","US","New England",361,73,13,9,105,177,32266,3610,2.86,"P 4.94",7048,1993,1630,38020
"Nick Cooper","124353","US","New York",819,141,10,7,127,395,42266,4549,2.2,"A 4.47",7044,1430,5975,103741
"Corey Hoover","140162","US","Virginias",400,90,5,6,131,234,11429,2444,3.02,"A 2.67",7001,1423,3639,52574
"Jeremy R Allen","29895","US","Indiana",1364,313,6,6,142,808,82949,17470,3.15,"A 3.40",6999,1371,11557,193631
"Stan Bragg Jr","124439","US","Michigan",607,180,4,4,99,351,32754,9350,1.65,"A 4.36",6944,1631,3461,59843
"Matt Whitten","40670","US","Virginias",747,280,5,5,127,495,59895,24453,1.52,"A 4.64",6919,1779,7248,95109
"Jacob Harberts","58500","US","Virginias",1639,560,5,6,127,1013,91938,26247,2.47,"A 4.99",6918,1362,11154,207426
"David Washington","18222","US","Connecticut",1417,328,7,6,100,677,67217,14718,2.29,"A 4.83",6863,1583,9876,141532
"Ryan Lowe","68739","US","Virginias",1127,240,9,8,142,606,89849,15582,2.95,"P 4.69",6863,1377,8549,160544
"Nickolas Shelton","104680","US","Mid-South",1841,505,8,7,133,956,85077,20544,2.31,"A 4.57",6827,1535,15015,244312
"Tommi Hahka","127339","FI","Finland",408,131,4,5,111,263,17406,5789,1.45,"A 4.99",6825,1431,3529,45491
"Joshua Hart","79553","US","Florida",660,175,3,5,90,338,30060,9795,1.55,"A 4.99",6822,1913,3085,59357
"Nathan Wise","115041","US","Mid-South",961,137,8,9,114,435,59570,8908,3.44,"A 3.42",6811,1436,6322,109298
